player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"lukas",mCofSnAxsK,2025-04-14T19:07:40.068Z,2025-04-14T19:43:20.577Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2025-04-14T19:05:46.353Z,,1000,,730,-270
"lukas",mCofSnAxsK,2025-04-14T19:04:49.845Z,2025-04-14T19:05:46.351Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-04-14T19:03:48.631Z,,2000,,4367,2367
"ODgoofyahhh",kBka-EGRbK,2025-04-14T18:48:47.032Z,2025-04-14T19:01:48.111Z,1000,0,0,-1000
"Chun",kJDLIwjevO,2025-04-14T18:48:47.029Z,2025-04-14T19:17:43.565Z,2000,0,0,-2000
"Koong",H-FEXmhUcb,2025-04-14T18:48:47.025Z,2025-04-14T19:22:37.631Z,2000,8903,0,6903
"Noah",_Aiasvll8Z,2025-04-14T18:48:47.034Z,,2000,,2000,0
"Chong",FmyA84FZhZ,2025-04-14T18:48:47.022Z,2025-04-14T19:03:34.678Z,2000,0,0,-2000
