player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chong",-HxDqwL99V,2024-04-13T02:18:18.523Z,2024-04-13T02:34:44.356Z,1000,3300,0,2300
"Chong",-HxDqwL99V,2024-04-13T02:05:48.129Z,2024-04-13T02:17:43.768Z,1000,0,0,-1000
"Chong",-HxDqwL99V,2024-04-13T01:42:11.049Z,2024-04-13T02:05:35.935Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-04-13T01:34:32.829Z,2024-04-13T02:01:04.348Z,1000,0,0,-1000
"Chong",-HxDqwL99V,2024-04-13T01:19:17.515Z,2024-04-13T01:41:33.261Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-04-13T01:14:44.712Z,,1000,,1010,10
"ODgoofyahhh",NYWmbeAr2J,2024-04-13T01:14:44.705Z,2024-04-13T01:33:28.790Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-04-13T01:14:44.708Z,,1000,2990,700,2690
