player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chong",-HxDqwL99V,2024-02-29T02:10:53.393Z,,5000,,9150,4150
"Chong",-HxDqwL99V,2024-02-29T02:03:08.836Z,2024-02-29T02:10:07.989Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2024-02-29T02:03:08.833Z,2024-02-29T02:12:06.398Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2024-02-29T01:42:14.394Z,2024-02-29T02:02:31.862Z,1000,0,0,-1000
"Muuu",7Mk-AijruW,2024-02-29T01:39:45.986Z,2024-02-29T02:14:13.777Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-02-29T01:38:21.996Z,,1000,,7700,6700
"ODgoofyahhh",kBka-EGRbK,2024-02-29T01:38:21.994Z,2024-02-29T01:40:59.284Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2024-02-29T01:33:40.476Z,2024-02-29T02:06:31.103Z,2000,0,0,-2000
"Tim",fXUJmq6Miv,2024-02-29T01:34:28.839Z,2024-02-29T02:06:31.099Z,2000,0,0,-2000
"Rosstafarian",AcRKLUvz8e,2024-02-29T01:31:03.978Z,2024-02-29T01:47:20.912Z,2000,0,0,-2000
"Koong",QaaGfVddQe,2024-02-29T01:30:24.756Z,2024-02-29T01:56:51.394Z,2000,0,0,-2000
"Chong",-HxDqwL99V,2024-02-29T01:31:03.972Z,2024-02-29T02:02:31.858Z,1000,0,0,-1000
"noah",zdVhbI3D5i,2024-02-29T01:29:16.538Z,2024-02-29T01:30:24.754Z,2000,3880,0,1880
"Koong",QaaGfVddQe,2024-02-29T01:28:00.438Z,2024-02-29T01:30:09.727Z,1000,0,0,-1000
"Tim",fXUJmq6Miv,2024-02-29T01:28:00.431Z,2024-02-29T01:32:38.457Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2024-02-29T01:28:00.435Z,2024-02-29T01:37:44.506Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-02-29T01:28:00.422Z,,3000,,8270,5270
