player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Tim",5-UpQ-JlBO,2024-02-20T02:29:38.074Z,,3000,,3700,700
"noah",zdVhbI3D5i,2024-02-20T02:01:54.407Z,,1500,,2330,830
"Koong",lXULlCUe0E,2024-02-20T01:53:10.587Z,,1000,,3452,2452
"Koong",lXULlCUe0E,2024-02-20T01:43:19.914Z,2024-02-20T01:52:06.536Z,1000,0,0,-1000
"Koong",OqPXHPyvLz,2024-02-20T01:39:48.287Z,2024-02-20T01:41:28.743Z,1000,785,0,-215
"Tim",5-UpQ-JlBO,2024-02-20T01:28:32.140Z,2024-02-20T02:29:18.129Z,2000,0,0,-2000
"ODgoofyahhh",NYWmbeAr2J,2024-02-20T01:19:54.989Z,2024-02-20T01:26:55.171Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-02-20T01:15:28.893Z,,1000,,1595,595
"Muuu",wz04g67XLY,2024-02-20T01:14:31.678Z,2024-02-20T02:39:05.993Z,2000,0,0,-2000
"Chong",Z9Ptp2nZKV,2024-02-20T01:11:38.082Z,,1000,,3565,2565
"ODgoofyahhh",NYWmbeAr2J,2024-02-20T01:10:58.075Z,2024-02-20T01:19:34.720Z,1000,0,0,-1000
"Tim",5-UpQ-JlBO,2024-02-20T01:10:58.070Z,2024-02-20T01:27:53.002Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-02-20T01:10:58.073Z,,2000,,3073,1073


"Tim",5-UpQ-JlBO,2024-02-20T05:38:16.376Z,2024-02-20T05:59:52.199Z,5000,2229,0,-2771
"Chong",-HxDqwL99V,2024-02-20T04:28:18.978Z,,2000,,4114,2114
"Koong",tweQZuhUzf,2024-02-20T04:18:40.682Z,,2000,,5759,3759
"Chong",-HxDqwL99V,2024-02-20T04:07:42.339Z,2024-02-20T04:27:32.956Z,1000,0,0,-1000
"Koong",tweQZuhUzf,2024-02-20T04:07:01.392Z,2024-02-20T04:18:03.553Z,1000,0,0,-1000
"Chong",-HxDqwL99V,2024-02-20T04:05:42.868Z,2024-02-20T04:06:53.121Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-02-20T04:05:42.861Z,2024-02-20T04:23:31.750Z,1000,0,0,-1000
"Koong",td1xWZ2CJX,2024-02-20T04:05:10.469Z,2024-02-20T04:06:53.125Z,1000,600,0,-400
"cito",ug0-CrzeER,2024-02-20T04:02:05.837Z,,1000,,9180,8180
"ODgoofyahhh",NYWmbeAr2J,2024-02-20T04:02:05.844Z,2024-02-20T04:05:10.467Z,1000,0,0,-1000
"Tim",5-UpQ-JlBO,2024-02-20T04:02:05.832Z,2024-02-20T05:38:10.818Z,3000,0,0,-3000
"aapexx13",had14BdBzO,2024-02-20T05:47:53.398Z,2024-02-20T05:53:11.571Z,1000,0,0,-1000
"N52MC",nqtUtqT4wv,2024-02-20T05:39:00.627Z,,2000,,3118,1118
"N52MC",nqtUtqT4wv,2024-02-20T04:59:04.748Z,2024-02-20T05:38:10.821Z,1500,0,0,-1500
"N52MC",nqtUtqT4wv,2024-02-20T04:49:14.301Z,2024-02-20T04:57:47.374Z,1500,0,0,-1500
