player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2024-02-11T22:11:29.121Z,,2000,,2910,910
"Koong",lJ59_AgdmT,2024-02-11T22:10:07.508Z,,1000,,1860,860
"Muuu",wz04g67XLY,2024-02-11T21:59:43.587Z,2024-02-11T22:23:16.339Z,1000,0,0,-1000
"Chong",-HxDqwL99V,2024-02-11T21:58:48.037Z,,1000,,1243,243
"ODgoofyahhh",NYWmbeAr2J,2024-02-11T21:58:48.047Z,,1000,,644,-356
"Chun",MojFAeNozv,2024-02-11T21:58:48.045Z,,1000,,1343,343
"cito",ug0-CrzeER,2024-02-11T21:58:48.034Z,2024-02-11T22:10:52.326Z,1000,0,0,-1000

"ODgoofyahhh",NYWmbeAr2J,2024-02-12T05:53:09.646Z,,1000,,1176,176
"Muuu",wz04g67XLY,2024-02-12T05:52:13.424Z,,1000,,730,-270
"Noah",_Aiasvll8Z,2024-02-12T05:50:20.978Z,,1000,,52,-948
"Koong",_qQ32_94g9,2024-02-12T05:48:37.867Z,,1000,,5178,4178
"Chun",aBi_EeAi91,2024-02-12T05:41:52.921Z,2024-02-12T05:57:00.790Z,1000,0,0,-1000
"Chong",-HxDqwL99V,2024-02-12T05:40:35.272Z,,1000,,1532,532
"Koong",_qQ32_94g9,2024-02-12T05:40:35.267Z,2024-02-12T05:48:00.432Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-02-12T05:40:35.276Z,2024-02-12T05:52:13.419Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-02-12T05:40:35.265Z,,1000,,332,-668
