player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ODgoofyahhh",NYWmbeAr2J,2024-03-22T21:23:22.758Z,2024-03-22T21:35:25.086Z,1000,0,0,-1000
"Chong",-HxDqwL99V,2024-03-22T21:23:22.756Z,,5000,,5665,665
"Chong",-HxDqwL99V,2024-03-22T21:09:32.712Z,2024-03-22T21:22:44.181Z,3000,0,0,-3000
"ODgoofyahhh",NYWmbeAr2J,2024-03-22T20:46:45.281Z,2024-03-22T21:22:44.174Z,2000,0,0,-2000
"Oliver Worth",XVkP2EnpO6,2024-03-22T20:41:48.125Z,,1000,,1010,10
"Chong",-HxDqwL99V,2024-03-22T20:41:48.122Z,2024-03-22T21:09:03.964Z,1000,0,0,-1000
"Chun",mJoBUiKbgL,2024-03-22T20:41:48.118Z,,5000,,3345,-1655
"ODgoofyahhh",NYWmbeAr2J,2024-03-22T20:39:46.647Z,2024-03-22T20:45:24.164Z,1000,0,0,-1000
"Chun",mJoBUiKbgL,2024-03-22T20:31:36.658Z,2024-03-22T20:40:38.348Z,1000,0,0,-1000
"Koong",YBhcVPc0ED,2024-03-22T20:30:59.071Z,,1000,,9070,8070
"ODgoofyahhh",NYWmbeAr2J,2024-03-22T20:30:59.064Z,2024-03-22T20:39:05.688Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-03-22T20:30:59.068Z,,1000,,3910,2910
