player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2025-01-09T04:16:14.322Z,2025-01-09T04:27:33.156Z,2000,0,0,-2000
"Chong",W6Lrxfr8qQ,2025-01-09T03:40:00.218Z,,2000,,4148,2148
"Chong",W6Lrxfr8qQ,2025-01-09T03:21:09.943Z,2025-01-09T03:37:06.902Z,2000,0,0,-2000
"Noah",JgmuhGkDCE,2025-01-09T02:51:08.266Z,2025-01-09T03:04:06.281Z,2000,0,0,-2000
"Muh",ZGsrWxnOyI,2025-01-09T02:23:41.467Z,2025-01-09T02:37:49.800Z,1500,0,0,-1500
"Koong",jo35LB3uXY,2025-01-09T02:14:41.906Z,,4000,,4006,6
"slipperycito",ug0-CrzeER,2025-01-09T02:06:22.710Z,2025-01-09T04:16:05.780Z,2165,0,0,-2165
"Failedpro",NYWmbeAr2J,2025-01-09T02:03:16.530Z,2025-01-09T02:35:02.155Z,1000,0,0,-1000
"Failedpro",NYWmbeAr2J,2025-01-09T01:58:33.701Z,2025-01-09T02:02:12.394Z,2000,0,0,-2000
"Muh",ZGsrWxnOyI,2025-01-09T01:58:06.498Z,2025-01-09T02:22:30.035Z,1500,0,0,-1500
"cito",tmHzD202-c,2025-01-09T01:55:49.415Z,2025-01-09T02:06:50.473Z,2000,2165,0,165
"Failedpro",NYWmbeAr2J,2025-01-09T01:55:49.434Z,2025-01-09T01:58:06.496Z,2000,0,0,-2000
"Chun",0VbLMY-zko,2025-01-09T01:55:49.427Z,,2000,,8409,6409
