player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Bader",RgKiOxNsZw,2025-03-28T22:14:50.778Z,2025-03-28T22:25:17.516Z,2000,0,0,-2000
"Bader",RgKiOxNsZw,2025-03-28T22:09:12.141Z,2025-03-28T22:12:28.016Z,2000,0,0,-2000
"Toby",c4bjOQv-T9,2025-03-28T21:22:32.505Z,,4000,,4078,78
"lukas",vayjkXvAIN,2025-03-28T21:22:32.497Z,2025-03-28T21:31:41.685Z,2000,0,0,-2000
"Noah",JgmuhGkDCE,2025-03-28T21:21:12.590Z,,2000,,1620,-380
"Oliver",NQx8nG5NzV,2025-03-28T18:43:47.723Z,,2000,,1920,-80
"Koong",m3yeUmmpo8,2025-03-28T18:42:02.664Z,,4000,,16465,12465
"lukas",vayjkXvAIN,2025-03-28T18:35:11.034Z,2025-03-28T18:53:16.648Z,2000,0,0,-2000
"Chun",-6-yYmPWx-,2025-03-28T18:31:07.980Z,,8000,,8577,577
"lukas",vayjkXvAIN,2025-03-28T18:24:25.265Z,2025-03-28T18:31:07.973Z,2000,0,0,-2000
"Oliver",NQx8nG5NzV,2025-03-28T18:23:25.401Z,2025-03-28T18:40:11.067Z,2000,4136,0,2136
"Bader",RgKiOxNsZw,2025-03-28T18:18:40.694Z,2025-03-28T21:36:33.176Z,2000,0,0,-2000
"Koong",m3yeUmmpo8,2025-03-28T18:14:04.068Z,2025-03-28T18:41:50.018Z,3000,0,0,-3000
"lukas",vayjkXvAIN,2025-03-28T18:08:03.043Z,2025-03-28T18:23:25.398Z,2000,0,0,-2000
"Bader",RgKiOxNsZw,2025-03-28T18:04:25.614Z,2025-03-28T18:17:44.585Z,2000,0,0,-2000
"Bader",RgKiOxNsZw,2025-03-28T18:02:33.278Z,2025-03-28T18:03:41.081Z,2000,0,0,-2000
"Koong",m3yeUmmpo8,2025-03-28T18:02:33.288Z,2025-03-28T18:12:53.123Z,2000,0,0,-2000
"Chun",-6-yYmPWx-,2025-03-28T18:02:33.291Z,2025-03-28T18:28:35.696Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-03-28T18:02:33.281Z,,2000,,7280,5280
"cito",ug0-CrzeER,2025-03-28T18:02:33.284Z,,2000,,6924,4924
