player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"ODgoofyahhh",kBka-EGRbK,2025-04-04T22:47:13.683Z,2025-04-04T22:49:28.570Z,500,0,0,-500
"ODgoofyahhh",kBka-EGRbK,2025-04-04T22:36:51.533Z,2025-04-04T22:45:01.843Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2025-04-04T22:29:19.688Z,2025-04-04T22:36:06.024Z,1000,0,0,-1000
"GB",6bIEpRn80K,2025-04-04T21:48:48.437Z,2025-04-04T23:07:59.233Z,3000,0,0,-3000
"GB",yXh10ZLBmo,2025-04-04T21:43:02.189Z,2025-04-04T21:46:22.357Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2025-04-04T21:24:09.072Z,2025-04-04T21:30:20.282Z,1000,0,0,-1000
"cito",ug0-CrzeER,2025-04-04T21:04:02.786Z,,5000,,8196,3196
"Toby",kO4afA9SVI,2025-04-04T21:03:14.025Z,,2000,,2409,409
"GB",b0a-tznLLJ,2025-04-04T20:48:00.433Z,2025-04-04T21:40:45.440Z,2000,0,0,-2000
"GB",b0a-tznLLJ,2025-04-04T20:19:15.148Z,2025-04-04T20:46:59.075Z,2000,0,0,-2000
"Koong",6DZBkencfw,2025-04-04T20:15:27.017Z,,4000,,9541,5541
"GB",b0a-tznLLJ,2025-04-04T20:11:11.049Z,2025-04-04T20:18:16.904Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2025-04-04T19:57:36.654Z,2025-04-04T21:23:31.849Z,1000,0,0,-1000
"Koong",6DZBkencfw,2025-04-04T19:55:23.048Z,2025-04-04T20:13:33.689Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2025-04-04T19:51:22.689Z,2025-04-04T19:56:35.553Z,1500,0,0,-1500
"Toby",c4bjOQv-T9,2025-04-04T19:50:23.978Z,2025-04-04T20:59:12.571Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-04-04T19:46:43.165Z,,2000,,9589,7589
"ODgoofyahhh",kBka-EGRbK,2025-04-04T19:47:28.917Z,2025-04-04T19:50:23.976Z,1000,0,0,-1000
"Noah",JgmuhGkDCE,2025-04-04T19:29:13.283Z,,3000,,10285,7285
"ODgoofyahhh",kBka-EGRbK,2025-04-04T19:20:14.670Z,2025-04-04T19:45:43.522Z,1000,0,0,-1000
"lukas",mCofSnAxsK,2025-04-04T19:20:14.664Z,,2000,,7469,5469
"ODgoofyahhh",kBka-EGRbK,2025-04-04T19:15:59.932Z,2025-04-04T19:19:00.142Z,1000,0,0,-1000
"Chun",kJDLIwjevO,2025-04-04T19:13:42.018Z,,2000,,8898,6898
"Toby",c4bjOQv-T9,2025-04-04T19:12:06.206Z,2025-04-04T19:48:53.691Z,4000,0,0,-4000
"Oliver",NQx8nG5NzV,2025-04-04T19:12:06.204Z,,2000,,5113,3113
"Toby",c4bjOQv-T9,2025-04-04T19:09:04.376Z,2025-04-04T19:10:05.804Z,1000,0,0,-1000
"Chong",FmyA84FZhZ,2025-04-04T19:09:04.378Z,2025-04-04T19:45:43.510Z,2000,0,0,-2000
"Koong",6DZBkencfw,2025-04-04T19:09:04.374Z,2025-04-04T19:54:36.315Z,1500,0,0,-1500
"Noah",JgmuhGkDCE,2025-04-04T19:09:04.372Z,2025-04-04T19:28:27.712Z,2000,0,0,-2000
"GB",b0a-tznLLJ,2025-04-04T19:09:04.382Z,2025-04-04T20:10:28.501Z,3000,0,0,-3000
"cito",ug0-CrzeER,2025-04-04T19:09:04.369Z,2025-04-04T21:03:14.018Z,2000,0,0,-2000
