player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2024-02-22T02:19:31.441Z,,4000,,2807,-1193
"ODgoofyahhh",NYWmbeAr2J,2024-02-22T01:56:25.102Z,2024-02-22T03:32:45.517Z,1000,5876,0,4876
"Koong",G26oXqgVBm,2024-02-22T01:51:56.619Z,,2000,,3182,1182
"cito",ug0-CrzeER,2024-02-22T01:39:28.854Z,2024-02-22T02:19:00.396Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-02-22T01:39:28.849Z,2024-02-22T01:54:42.084Z,1000,0,0,-1000
"Tim",fXUJmq6Miv,2024-02-22T01:39:28.852Z,,2000,,1740,-260
"Chun",71fYCRe9J3,2024-02-22T01:39:28.845Z,,8500,,5895,-2605
