player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Muuu",wz04g67XLY,2024-02-01T02:22:14.813Z,2024-02-01T02:24:26.717Z,1000,0,0,-1000
"Muuu",wz04g67XLY,2024-02-01T01:49:17.940Z,2024-02-01T02:20:09.475Z,1000,0,0,-1000
"Koong",YHx130wzRb,2024-02-01T01:18:44.441Z,,1000,,1530,530
"Koong",YHx130wzRb,2024-02-01T01:11:21.987Z,2024-02-01T01:18:07.271Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-02-01T01:03:57.799Z,,4000,,4126,126
"cito",ug0-CrzeER,2024-02-01T00:55:10.410Z,2024-02-01T01:03:05.862Z,1000,0,0,-1000
"Koong",YHx130wzRb,2024-02-01T00:44:18.949Z,2024-02-01T01:10:55.766Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-02-01T00:42:32.679Z,,4000,,8094,4094
"ODgoofyahhh",kBka-EGRbK,2024-02-01T00:42:32.676Z,,1000,,2250,1250
"cito",ug0-CrzeER,2024-02-01T00:42:32.674Z,2024-02-01T00:53:51.442Z,1000,0,0,-1000
