player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chong",-HxDqwL99V,2024-01-17T05:08:23.151Z,,4000,,7846,3846
"Chong",-HxDqwL99V,2024-01-17T04:53:06.073Z,2024-01-17T05:07:43.413Z,3000,0,0,-3000
"Chong",-HxDqwL99V,2024-01-17T04:49:12.555Z,2024-01-17T04:52:45.619Z,2000,0,0,-2000
"Muuu",wz04g67XLY,2024-01-17T04:36:41.797Z,,1000,,3688,2688
"Muuu",wz04g67XLY,2024-01-17T04:30:33.295Z,2024-01-17T04:35:57.344Z,1000,0,0,-1000
"Chun",zytjipNQVu,2024-01-17T04:30:07.497Z,,2000,,4035,2035
"Muuu",wz04g67XLY,2024-01-17T04:21:56.435Z,2024-01-17T04:30:07.493Z,1500,0,0,-1500
"Koong",_tqJcKR1P6,2024-01-17T03:44:27.416Z,,1000,,5833,4833
"Koong",_tqJcKR1P6,2024-01-17T03:38:09.421Z,2024-01-17T03:42:57.607Z,1000,0,0,-1000
"Chun",zytjipNQVu,2024-01-17T03:35:10.056Z,2024-01-17T04:29:17.785Z,6000,0,0,-6000
"Koong",_tqJcKR1P6,2024-01-17T03:35:10.049Z,2024-01-17T03:37:44.690Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-01-17T03:31:47.725Z,2024-01-17T03:37:44.684Z,1000,0,0,-1000
"Chun",zytjipNQVu,2024-01-17T03:25:43.362Z,2024-01-17T03:34:02.406Z,2000,0,0,-2000
"ODgoofyahhh",NYWmbeAr2J,2024-01-17T03:25:43.359Z,2024-01-17T03:29:06.132Z,1000,0,0,-1000
"Koong",_tqJcKR1P6,2024-01-17T03:24:32.523Z,2024-01-17T03:34:02.402Z,1000,0,0,-1000
"Chun",zytjipNQVu,2024-01-17T03:23:18.206Z,2024-01-17T03:25:28.554Z,1000,0,0,-1000
"Noah",_Aiasvll8Z,2024-01-17T03:23:18.203Z,,1111,,7156,6045
"Chong",-HxDqwL99V,2024-01-17T03:23:18.209Z,2024-01-17T04:47:49.805Z,1500,0,0,-1500
"ODgoofyahhh",NYWmbeAr2J,2024-01-17T03:23:18.211Z,2024-01-17T03:25:28.550Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-01-17T03:23:18.199Z,,2000,,6553,4553
