player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"toby",kO4afA9SVI,2025-04-07T02:19:54.570Z,2025-04-07T03:27:14.631Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2025-04-07T02:15:18.250Z,,2000,,2926,926
"cito",ug0-CrzeER,2025-04-07T02:05:49.472Z,,5000,,4687,-313
"ODgoofyahhh",kBka-EGRbK,2025-04-07T00:28:43.923Z,2025-04-07T02:14:26.173Z,2000,0,0,-2000
"Koong",vvOYiugstW,2025-04-07T00:23:29.557Z,,2000,,9929,7929
"Chong",FmyA84FZhZ,2025-04-06T22:50:33.538Z,,4000,,7682,3682
"Oliver",T2UfRUVgvz,2025-04-06T22:34:40.310Z,,2000,,3404,1404
"ODgoofyahhh",kBka-EGRbK,2025-04-06T22:25:53.259Z,2025-04-07T00:26:56.527Z,1000,0,0,-1000
"Noah",_Aiasvll8Z,2025-04-06T22:20:43.660Z,2025-04-06T22:43:13.244Z,2500,0,0,-2500
"Niraj",YHi0Fbdw6g,2025-04-06T22:13:35.491Z,2025-04-06T22:25:53.237Z,2000,4011,0,2011
"lukas",mCofSnAxsK,2025-04-06T22:12:18.043Z,2025-04-07T03:08:25.962Z,2000,10343,0,8343
"cito",ug0-CrzeER,2025-04-06T22:13:35.488Z,2025-04-07T01:53:00.126Z,5000,0,0,-5000
"cito",ug0-CrzeER,2025-04-06T21:59:13.747Z,2025-04-06T22:11:03.073Z,2000,0,0,-2000
"Muuu",ZGsrWxnOyI,2025-04-06T21:57:16.344Z,2025-04-07T02:15:18.243Z,2000,2036,0,36
"Noah",_Aiasvll8Z,2025-04-06T21:56:12.853Z,2025-04-06T22:19:46.213Z,2500,0,0,-2500
"Niraj",YHi0Fbdw6g,2025-04-06T21:55:22.698Z,2025-04-06T22:12:18.040Z,2000,0,0,-2000
"Chun",_KnL1camlF,2025-04-06T21:52:29.427Z,2025-04-07T02:15:18.247Z,2000,5415,0,3415
"lukas",mCofSnAxsK,2025-04-06T21:48:29.661Z,2025-04-06T22:11:03.076Z,2000,0,0,-2000
"Koong",H-1sy8f2MK,2025-04-06T21:46:54.313Z,2025-04-06T22:52:43.147Z,3000,0,0,-3000
"Chong",FmyA84FZhZ,2025-04-06T21:46:54.310Z,2025-04-06T22:49:00.609Z,2000,0,0,-2000
"GB",6bIEpRn80K,2025-04-06T21:46:54.315Z,,4000,,3567,-433
"ODgoofyahhh",kBka-EGRbK,2025-04-06T21:46:54.308Z,2025-04-06T22:25:03.004Z,1000,0,0,-1000
