player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Muuu",wz04g67XLY,2024-02-09T02:48:29.846Z,2024-02-09T03:13:14.097Z,4500,0,0,-4500
"Chong",Z9Ptp2nZKV,2024-02-09T02:31:55.089Z,,10000,,16470,6470
"Chong",Z9Ptp2nZKV,2024-02-09T02:20:22.712Z,2024-02-09T02:31:14.018Z,5000,0,0,-5000
"Chong",Z9Ptp2nZKV,2024-02-09T02:09:58.546Z,2024-02-09T02:20:02.437Z,2000,0,0,-2000
"Muuu",b6FdK7u6Op,2024-02-09T01:54:48.420Z,,2000,,4500,2500
"ODgoofyahhh",kBka-EGRbK,2024-02-09T01:53:09.028Z,2024-02-09T02:08:16.379Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-02-09T01:50:45.782Z,,3000,,9530,6530
"Chong",Z9Ptp2nZKV,2024-02-09T01:48:22.641Z,2024-02-09T02:09:36.666Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2024-02-09T01:48:22.646Z,2024-02-09T01:52:53.261Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-02-09T01:48:22.644Z,2024-02-09T01:50:01.827Z,1000,0,0,-1000
