player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Koong",Tu3BFp5tuk,2025-04-05T23:07:23.179Z,,1000,,2040,1040
"Koong",Tu3BFp5tuk,2025-04-05T22:54:57.763Z,2025-04-05T23:05:49.035Z,1000,0,0,-1000
"lukas",mCofSnAxsK,2025-04-05T22:48:43.857Z,2025-04-05T22:54:57.760Z,2000,0,0,-2000
"Cito",ug0-CrzeER,2025-04-05T22:40:10.712Z,,2000,,2574,574
"TL",c4bjOQv-T9,2025-04-05T22:32:28.953Z,2025-04-05T23:10:23.953Z,2000,0,0,-2000
"Koong",Tu3BFp5tuk,2025-04-05T22:20:24.271Z,2025-04-05T22:36:35.508Z,5000,2000,0,-3000
"Koong",Tu3BFp5tuk,2025-04-05T22:11:16.687Z,2025-04-05T22:19:01.553Z,2000,0,0,-2000
"Koong",Tu3BFp5tuk,2025-04-05T21:58:37.448Z,2025-04-05T22:10:28.242Z,2000,0,0,-2000
"TL",c4bjOQv-T9,2025-04-05T21:57:50.888Z,2025-04-05T22:30:32.531Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2025-04-05T21:03:07.897Z,2025-04-05T22:10:28.238Z,2000,0,0,-2000
"Koong",Tu3BFp5tuk,2025-04-05T21:03:07.894Z,2025-04-05T21:57:50.874Z,2000,0,0,-2000
"Koong",Tu3BFp5tuk,2025-04-05T20:59:21.009Z,2025-04-05T21:01:11.648Z,2000,0,0,-2000
"Oliver",T2UfRUVgvz,2025-04-05T20:53:13.722Z,,2000,,714,-1286
"GB",6bIEpRn80K,2025-04-05T20:50:33.830Z,,2000,,11345,9345
"Cito",ug0-CrzeER,2025-04-05T20:49:53.594Z,2025-04-05T22:39:37.552Z,2000,0,0,-2000
"Noah",_Aiasvll8Z,2025-04-05T20:49:53.585Z,,2100,,9493,7393
"ODgoofyahhh",kBka-EGRbK,2025-04-05T20:49:53.598Z,2025-04-05T21:02:15.156Z,1000,0,0,-1000
"Koong",Tu3BFp5tuk,2025-04-05T20:49:53.583Z,2025-04-05T20:58:45.448Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-04-05T20:49:53.588Z,,2000,,8934,6934
