player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Noah",XyVcr4Tsom,2024-02-18T22:53:16.937Z,2024-02-18T23:04:05.321Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-02-18T22:24:24.700Z,2024-02-18T22:48:18.154Z,3750,0,0,-3750
"cito",ug0-CrzeER,2024-02-18T22:22:53.199Z,,4000,,4018,18
"Koong",HzWbd-a0uC,2024-02-18T22:02:26.961Z,,3000,,6647,3647
"ODgoofyahhh",NYWmbeAr2J,2024-02-18T21:57:33.358Z,2024-02-18T22:23:44.944Z,1000,828,0,-172
"Muh",wz04g67XLY,2024-02-18T21:00:04.519Z,2024-02-18T21:20:31.756Z,1000,0,0,-1000
"Koong",HzWbd-a0uC,2024-02-18T20:55:01.863Z,2024-02-18T22:01:36.848Z,2000,0,0,-2000
"Chong",-HxDqwL99V,2024-02-18T20:55:01.802Z,,1000,,3876,2876
"Muh",wz04g67XLY,2024-02-18T20:50:08.694Z,2024-02-18T20:56:31.650Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-02-18T20:43:06.329Z,2024-02-18T21:54:00.961Z,2000,0,0,-2000
"Chong",-HxDqwL99V,2024-02-18T20:39:51.077Z,2024-02-18T20:54:31.233Z,2000,0,0,-2000
"Muh",wz04g67XLY,2024-02-18T20:39:51.075Z,2024-02-18T20:49:59.359Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-02-18T20:36:53.077Z,2024-02-18T20:41:40.551Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-02-18T20:26:38.296Z,2024-02-18T21:00:48.339Z,1000,5899,0,4899
"Chong",-HxDqwL99V,2024-02-18T20:25:25.971Z,2024-02-18T20:38:52.837Z,1000,0,0,-1000
"Koong",HzWbd-a0uC,2024-02-18T20:24:38.015Z,2024-02-18T20:54:31.228Z,1000,0,0,-1000
"Chun",7MlYcjcsXZ,2024-02-18T20:24:38.012Z,,1000,,8482,7482
"ODgoofyahhh",NYWmbeAr2J,2024-02-18T20:24:38.018Z,2024-02-18T20:26:15.748Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-02-18T20:24:38.010Z,2024-02-18T20:36:17.368Z,1000,0,0,-1000
