player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2025-02-16T19:23:32.557Z,,2000,,7128,5128
"Noah",JgmuhGkDCE,2025-02-16T19:09:48.159Z,,4000,,3920,-80
"Toby",kO4afA9SVI,2025-02-16T19:04:18.907Z,2025-02-16T19:32:08.463Z,2000,0,0,-2000
"Noah",JgmuhGkDCE,2025-02-16T18:56:24.888Z,2025-02-16T19:08:45.360Z,2000,0,0,-2000
"Chong",W6Lrxfr8qQ,2025-02-16T18:51:48.943Z,2025-02-16T21:29:40.645Z,2000,0,0,-2000
"Chun",-6-yYmPWx-,2025-02-16T18:49:29.330Z,,2000,,1356,-644
"Aspiringpro",kBka-EGRbK,2025-02-16T18:48:23.498Z,,2000,,6499,4499
"Toby",kO4afA9SVI,2025-02-16T18:48:23.495Z,2025-02-16T19:03:23.181Z,2000,0,0,-2000
"Worthy",T2UfRUVgvz,2025-02-16T18:48:23.492Z,2025-02-16T18:59:33.679Z,2000,0,0,-2000
"Koong",QLKduSW2zC,2025-02-16T18:48:23.486Z,,2000,,9097,7097
"cito",ug0-CrzeER,2025-02-16T18:48:23.483Z,2025-02-16T19:22:22.748Z,2000,0,0,-2000
"Chong",W6Lrxfr8qQ,2025-02-16T18:48:23.476Z,2025-02-16T18:50:54.679Z,2000,0,0,-2000
