player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Tobs",c4bjOQv-T9,2025-04-02T04:07:37.455Z,2025-04-02T04:10:31.553Z,1000,0,0,-1000
"cito",ug0-CrzeER,2025-04-02T04:01:38.021Z,,2000,,2925,925
"lukas",mCofSnAxsK,2025-04-02T03:59:30.894Z,2025-04-02T04:01:38.018Z,1000,0,0,-1000
"Chong",FmyA84FZhZ,2025-04-02T03:58:48.424Z,,1000,,3505,2505
"Proplayer",kBka-EGRbK,2025-04-02T03:57:25.096Z,2025-04-02T04:08:29.383Z,1000,2556,0,1556
"Tobs",c4bjOQv-T9,2025-04-02T03:57:25.104Z,2025-04-02T04:06:14.223Z,1000,0,0,-1000
"Tim",celH3eQyak,2025-04-02T03:57:25.098Z,2025-04-02T04:06:14.220Z,1000,0,0,-1000
"Koong",y5QIYTT5Bf,2025-04-02T03:57:25.102Z,,1000,,1014,14
"cito",ug0-CrzeER,2025-04-02T03:57:25.100Z,2025-04-02T04:00:24.595Z,1000,0,0,-1000
