player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2023-12-21T05:00:43.557Z,,1000,,1182,182
"cito",ug0-CrzeER,2023-12-21T04:51:58.015Z,2023-12-21T04:59:47.853Z,1000,0,0,-1000
"Noah",_Aiasvll8Z,2023-12-21T04:40:43.729Z,,1000,,2411,1411
"Chun",xQ59cYcETY,2023-12-21T04:40:43.727Z,,1000,,2407,1407
"Niraj",Zrt4sKhNON,2023-12-21T04:40:43.724Z,2023-12-21T04:59:00.480Z,1000,0,0,-1000
"Muuu",wz04g67XLY,2023-12-21T04:40:43.721Z,2023-12-21T05:09:54.461Z,1000,0,0,-1000
