player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chun",71fYCRe9J3,2024-02-08T01:55:01.284Z,2024-02-08T02:32:49.649Z,3000,0,0,-3000
"Chong",Z9Ptp2nZKV,2024-02-08T01:50:21.769Z,,4000,,5712,1712
"ODgoofyahhh",kBka-EGRbK,2024-02-08T01:47:24.722Z,2024-02-08T01:51:56.819Z,500,0,0,-500
"ODgoofyahhh",kBka-EGRbK,2024-02-08T01:26:11.519Z,2024-02-08T01:47:02.705Z,1000,0,0,-1000
"ODgoofyahhh",kBka-EGRbK,2024-02-08T01:12:33.616Z,2024-02-08T01:25:37.688Z,1000,0,0,-1000
"Chong",Z9Ptp2nZKV,2024-02-08T01:08:16.963Z,2024-02-08T01:49:51.045Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2024-02-08T01:04:58.602Z,2024-02-08T01:11:43.458Z,1000,0,0,-1000
"Tim",5-UpQ-JlBO,2024-02-08T01:04:58.599Z,2024-02-08T01:43:39.937Z,1000,2040,0,1040
"Chong",Z9Ptp2nZKV,2024-02-08T01:04:58.603Z,2024-02-08T01:07:03.974Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-02-08T01:04:58.597Z,,1000,,7748,6748
