player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chong",FmyA84FZhZ,2025-04-06T03:44:09.265Z,,2000,,8027,6027
"Koong",cTMS3WW4IE,2025-04-06T03:09:09.792Z,,2000,,3600,1600
"Chong",FmyA84FZhZ,2025-04-06T02:07:38.220Z,2025-04-06T03:42:51.909Z,10000,2000,0,-8000
"lukas",mCofSnAxsK,2025-04-06T01:56:07.728Z,2025-04-06T02:02:21.562Z,2000,0,0,-2000
"Noah",_Aiasvll8Z,2025-04-06T01:55:28.470Z,,3000,,7570,4570
"lukas",mCofSnAxsK,2025-04-06T01:40:45.948Z,2025-04-06T01:54:31.946Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-04-06T01:38:06.677Z,2025-04-06T02:06:54.772Z,2000,0,0,-2000
"Bader",6bIEpRn80K,2025-04-06T01:37:20.316Z,,2000,,10269,8269
"lukas",mCofSnAxsK,2025-04-06T01:20:20.361Z,2025-04-06T01:40:06.369Z,2000,0,0,-2000
"Koong",DQ14cIltiC,2025-04-06T01:17:10.797Z,,2000,,7198,5198
"lukas",mCofSnAxsK,2025-04-06T01:14:40.473Z,2025-04-06T01:19:05.359Z,2000,0,0,-2000
"Oliver",T2UfRUVgvz,2025-04-06T01:09:51.469Z,,2000,,3505,1505
"Koong",DQ14cIltiC,2025-04-06T01:05:42.863Z,2025-04-06T01:16:06.778Z,2000,0,0,-2000
"lukas",mCofSnAxsK,2025-04-06T01:04:56.625Z,2025-04-06T01:13:30.354Z,2000,0,0,-2000
"Noah",_Aiasvll8Z,2025-04-06T00:56:05.263Z,2025-04-06T01:26:38.632Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2025-04-06T00:56:05.267Z,2025-04-06T01:41:53.863Z,2000,0,0,-2000
"Bader",6bIEpRn80K,2025-04-06T00:56:05.261Z,2025-04-06T01:36:06.098Z,2000,0,0,-2000
"cito",ug0-CrzeER,2025-04-06T00:56:05.258Z,,2000,,2831,831
