player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2025-04-01T14:17:50.292Z,,2000,,1980,-20
"toby",kO4afA9SVI,2025-04-01T14:08:41.955Z,,2000,,2965,965
"toby",kO4afA9SVI,2025-04-01T13:59:39.333Z,2025-04-01T14:07:37.755Z,2000,0,0,-2000
"Rosstafarian",RdKWUIdTzG,2025-04-01T13:25:07.675Z,2025-04-01T14:02:52.335Z,2000,2273,0,273
"Koong",MmSNH2VKOb,2025-04-01T13:10:53.778Z,,3000,,7178,4178
"Chun",-6-yYmPWx-,2025-04-01T13:08:22.865Z,,5000,,3951,-1049
"toby",kO4afA9SVI,2025-04-01T13:04:12.058Z,2025-04-01T13:20:49.723Z,2000,0,0,-2000
"noah",zdVhbI3D5i,2025-04-01T12:59:53.573Z,2025-04-01T13:41:29.126Z,2500,8816,0,6316
"Chun",-6-yYmPWx-,2025-04-01T12:53:40.046Z,2025-04-01T13:06:05.672Z,2000,0,0,-2000
"Chun",-6-yYmPWx-,2025-04-01T12:49:29.401Z,2025-04-01T12:52:09.614Z,2000,0,0,-2000
"George S Bader",6bIEpRn80K,2025-04-01T12:48:01.604Z,,3000,,4188,1188
"lukas",mCofSnAxsK,2025-04-01T12:48:01.595Z,2025-04-01T13:40:38.449Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-04-01T12:48:01.591Z,,2000,,5149,3149
"Koong",MmSNH2VKOb,2025-04-01T12:48:01.585Z,2025-04-01T13:09:54.600Z,3000,0,0,-3000
"cito",ug0-CrzeER,2025-04-01T12:48:01.598Z,2025-04-01T14:16:45.124Z,2000,0,0,-2000
