player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2024-12-09T00:37:44.225Z,,2000,,5757,3757
"Muuu",ZGsrWxnOyI,2024-12-08T23:51:18.945Z,2024-12-09T00:41:56.893Z,1000,0,0,-1000
"Toby",kO4afA9SVI,2024-12-08T23:26:30.280Z,2024-12-08T23:44:13.022Z,2000,1606,0,-394
"cito",ug0-CrzeER,2024-12-08T23:25:11.628Z,2024-12-09T00:36:25.916Z,2000,0,0,-2000
"cito",ug0-CrzeER,2024-12-08T23:23:46.010Z,2024-12-08T23:24:45.547Z,2000,0,0,-2000
"Chong",4Lz76lvWh7,2024-12-08T23:23:46.006Z,,2000,,5637,3637
"Chun",0VbLMY-zko,2024-12-08T23:23:45.997Z,2024-12-09T01:27:48.981Z,2000,0,0,-2000
