player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2025-04-12T18:35:52.825Z,,4000,,2677,-1323
"lukas",mCofSnAxsK,2025-04-12T18:05:27.329Z,2025-04-12T19:04:44.666Z,2000,4003,0,2003
"GB",6bIEpRn80K,2025-04-12T18:05:27.319Z,,2000,,2590,590
"Koong",_xioTGinwa,2025-04-12T17:49:44.628Z,,2000,,5112,3112
"cito",ug0-CrzeER,2025-04-12T17:42:52.799Z,2025-04-12T18:34:22.725Z,2000,0,0,-2000
"Chun",2G6VHQvAZY,2025-04-12T17:13:33.944Z,,2000,,5573,3573
"GB",6bIEpRn80K,2025-04-12T17:13:33.937Z,2025-04-12T18:03:04.496Z,2000,0,0,-2000
"Chun",2G6VHQvAZY,2025-04-12T17:09:42.632Z,2025-04-12T17:12:47.569Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-04-12T17:09:42.635Z,,2000,,4314,2314
"cito",ug0-CrzeER,2025-04-12T17:09:42.627Z,2025-04-12T17:42:19.725Z,2000,0,0,-2000
"Toby",c4bjOQv-T9,2025-04-12T17:09:42.638Z,,2000,,1731,-269
"lukas",mCofSnAxsK,2025-04-12T17:09:42.620Z,2025-04-12T18:04:15.652Z,2000,0,0,-2000
