player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chong",-HxDqwL99V,2024-02-07T17:55:38.353Z,2024-02-07T18:52:48.565Z,2000,0,0,-2000
"Chong",-HxDqwL99V,2024-02-07T17:50:24.352Z,2024-02-07T17:55:16.918Z,2000,0,0,-2000
"cito",ug0-CrzeER,2024-02-07T17:43:28.601Z,,2000,,5579,3579
"Muuu",wz04g67XLY,2024-02-07T17:42:48.557Z,,1000,,5038,4038
"cito",ug0-CrzeER,2024-02-07T17:38:52.995Z,2024-02-07T17:42:48.551Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-02-07T17:35:29.708Z,,3000,,2713,-287
"Chong",-HxDqwL99V,2024-02-07T17:33:19.789Z,2024-02-07T17:49:56.111Z,1000,0,0,-1000
"Koong",dz-O8Xkso9,2024-02-07T17:33:19.725Z,,1000,,1670,670
"cito",ug0-CrzeER,2024-02-07T17:32:43.303Z,2024-02-07T17:38:24.718Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-02-07T17:32:43.300Z,2024-02-07T17:34:52.491Z,1000,0,0,-1000
