player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Koong",UaWbTEjtU6,2025-04-01T03:43:41.165Z,2025-04-01T03:49:53.180Z,3000,0,0,-3000
"twizzler",kO4afA9SVI,2025-04-01T03:42:28.390Z,2025-04-01T03:43:41.163Z,2000,2000,0,0
"Bader",6bIEpRn80K,2025-04-01T03:16:36.652Z,2025-04-01T03:55:26.983Z,2000,0,0,-2000
"Bader",6bIEpRn80K,2025-04-01T03:06:26.703Z,2025-04-01T03:15:29.776Z,2000,0,0,-2000
"Oliver",NQx8nG5NzV,2025-04-01T02:54:48.102Z,2025-04-01T02:56:52.155Z,2000,0,0,-2000
"Bader",6bIEpRn80K,2025-04-01T02:45:36.078Z,2025-04-01T03:04:12.577Z,2000,0,0,-2000
"lukas",vayjkXvAIN,2025-04-01T02:38:19.707Z,2025-04-01T03:53:21.724Z,2000,12459,0,10459
"Koong",UaWbTEjtU6,2025-04-01T02:37:42.403Z,2025-04-01T03:42:28.386Z,2000,0,0,-2000
"Chun",-6-yYmPWx-,2025-04-01T02:34:52.957Z,,2000,,4697,2697
"Phung",kBka-EGRbK,2025-04-01T02:29:09.081Z,2025-04-01T02:37:42.395Z,1000,0,0,-1000
"Oliver",NQx8nG5NzV,2025-04-01T02:15:16.741Z,2025-04-01T02:37:42.400Z,2000,2333,0,333
"Phung",kBka-EGRbK,2025-04-01T02:13:08.602Z,2025-04-01T02:27:56.332Z,1000,0,0,-1000
"Phung",kBka-EGRbK,2025-04-01T02:09:28.867Z,2025-04-01T02:11:42.353Z,1000,0,0,-1000
"Chong",1yVJEN-_rr,2025-04-01T01:41:41.499Z,,2000,,7601,5601
"twizzler",kO4afA9SVI,2025-04-01T01:41:41.503Z,2025-04-01T03:41:09.916Z,2000,0,0,-2000
"Bader",6bIEpRn80K,2025-04-01T01:41:41.514Z,2025-04-01T02:44:37.574Z,2000,0,0,-2000
"cito",ug0-CrzeER,2025-04-01T01:41:41.507Z,,20000,18000,2910,910
