player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Muuu",ZGsrWxnOyI,2025-05-08T02:35:28.176Z,,1000,,4384,3384
"lukas",mCofSnAxsK,2025-05-08T02:33:11.533Z,2025-05-08T03:08:41.240Z,1000,0,0,-1000
"lukas",mCofSnAxsK,2025-05-08T02:25:15.026Z,2025-05-08T02:30:11.165Z,2000,0,0,-2000
"ODgoofyahhh",krCBOtZoZt,2025-05-08T02:17:51.875Z,,2000,,8048,6048
"Koong",lNss0mEbcI,2025-05-08T02:17:51.871Z,2025-05-08T03:02:38.066Z,2000,0,0,-2000
"Georgie",9FT9URbRk3,2025-05-08T02:17:51.869Z,2025-05-08T02:55:34.966Z,2000,0,0,-2000
"cito",ug0-CrzeER,2025-05-08T02:12:43.705Z,,3500,,4668,1168
"Georgie",9FT9URbRk3,,2025-05-08T02:12:43.701Z,2000,2000,0,0
"Chun",4ah0yvlLiO,2025-05-08T02:09:15.818Z,,2000,,2971,971
"lukas",mCofSnAxsK,2025-05-08T02:08:19.144Z,2025-05-08T02:23:25.868Z,2000,0,0,-2000
"Koong",lNss0mEbcI,2025-05-08T02:08:19.142Z,2025-05-08T02:15:35.954Z,2000,0,0,-2000
"ross",AcRKLUvz8e,2025-05-08T02:08:19.146Z,2025-05-08T03:01:00.794Z,2000,888,0,-1112
"ODgoofyahhh",krCBOtZoZt,2025-05-08T02:08:19.138Z,2025-05-08T02:17:07.090Z,2000,0,0,-2000
"toby",kO4afA9SVI,2025-05-08T02:08:19.140Z,,10000,7880,4661,2541
