player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chong",SHcA9l4DO2,2024-03-10T21:51:18.610Z,,1500,,1510,10
"Chun",qp7zmqJRP-,2024-03-10T21:43:29.023Z,,1000,,2042,1042
"ODgoofyahhh",NYWmbeAr2J,2024-03-10T21:25:13.971Z,,1000,,800,-200
"Chong",SHcA9l4DO2,2024-03-10T21:22:46.752Z,2024-03-10T21:50:32.965Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-03-10T21:10:19.868Z,2024-03-10T21:24:43.626Z,2000,0,0,-2000
"Koong",43ZDNeLDtQ,2024-03-10T21:05:37.753Z,,2000,,3752,1752
"Tim",L1KOTzxmUX,2024-03-10T21:02:36.158Z,2024-03-10T21:27:14.347Z,1000,1727,0,727
"noah",zdVhbI3D5i,2024-03-10T21:02:36.155Z,,2000,,3669,1669
"ODgoofyahhh",NYWmbeAr2J,2024-03-10T21:02:36.161Z,2024-03-10T21:08:28.840Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-03-10T21:02:36.153Z,2024-03-10T21:52:12.349Z,1000,0,0,-1000
