player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"GB",6bIEpRn80K,2025-04-11T16:30:59.701Z,2025-04-11T16:49:15.520Z,2000,0,0,-2000
"Toby",c4bjOQv-T9,2025-04-11T16:29:46.828Z,2025-04-11T16:46:52.971Z,2000,0,0,-2000
"Chun",-6-yYmPWx-,2025-04-11T16:22:11.032Z,,2155,,5595,3440
"Chong",FmyA84FZhZ,2025-04-11T16:20:52.977Z,,2000,,2518,518
"Oliver",T2UfRUVgvz,2025-04-11T16:15:23.403Z,,2000,,4308,2308
"cito",ug0-CrzeER,2025-04-11T16:14:42.222Z,,2000,,1150,-850
"Chun",MKl-bQHHMu,2025-04-11T16:10:29.374Z,2025-04-11T16:23:20.120Z,2000,2155,0,155
"Koong",DQ14cIltiC,2025-04-11T16:08:12.889Z,2025-04-11T16:50:03.682Z,1000,9429,0,8429
"lukas",mCofSnAxsK,2025-04-11T16:07:25.898Z,2025-04-11T16:46:52.965Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-04-11T16:07:25.907Z,2025-04-11T16:19:38.570Z,2000,0,0,-2000
"Toby",c4bjOQv-T9,2025-04-11T16:07:25.920Z,2025-04-11T16:28:56.826Z,2000,0,0,-2000
"cito",ug0-CrzeER,2025-04-11T16:07:25.900Z,2025-04-11T16:14:17.026Z,2000,0,0,-2000
"GB",6bIEpRn80K,2025-04-11T16:07:25.895Z,2025-04-11T16:29:46.823Z,2000,0,0,-2000
