player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Chong",Wy0toLfZy5,2024-03-05T21:30:41.716Z,2024-03-05T22:28:31.423Z,4000,0,0,-4000
"ODgoofyahhh",NYWmbeAr2J,2024-03-05T20:59:24.993Z,2024-03-05T21:07:23.580Z,1000,0,0,-1000
"ODgoofyahhh",NYWmbeAr2J,2024-03-05T20:53:56.587Z,2024-03-05T20:58:48.906Z,1000,0,0,-1000
"Koong",n3IrnUkGtb,2024-03-05T20:16:12.050Z,,1000,,4098,3098
"ODgoofyahhh",NYWmbeAr2J,2024-03-05T20:12:29.632Z,2024-03-05T20:53:17.464Z,1000,0,0,-1000
"cito",ug0-CrzeER,2024-03-05T20:10:42.881Z,,1000,,8634,7634
"ODgoofyahhh",NYWmbeAr2J,2024-03-05T20:05:10.802Z,2024-03-05T20:11:54.472Z,1000,0,0,-1000
"Muuu",HmPKaBwsF9,2024-03-05T19:58:08.039Z,2024-03-05T20:02:27.732Z,1000,0,0,-1000
"Chong",Wy0toLfZy5,2024-03-05T19:56:54.354Z,2024-03-05T21:29:53.628Z,2000,0,0,-2000
"ODgoofyahhh",NYWmbeAr2J,2024-03-05T19:56:54.358Z,2024-03-05T20:04:45.604Z,1000,0,0,-1000
"Chun",71fYCRe9J3,2024-03-05T19:56:54.361Z,,1000,,2268,1268
