player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"George S Bader",6bIEpRn80K,2025-04-03T02:49:00.462Z,2025-04-03T03:09:31.575Z,2000,0,0,-2000
"Chong",1yVJEN-_rr,2025-04-03T01:59:56.404Z,,2123,,2391,268
"George S Bader",RgKiOxNsZw,2025-04-03T01:42:11.953Z,2025-04-03T01:54:38.550Z,2000,0,0,-2000
"noah",zdVhbI3D5i,2025-04-03T00:48:03.752Z,2025-04-03T01:44:24.472Z,2000,4284,0,2284
"noah",JgmuhGkDCE,2025-04-03T00:33:31.928Z,2025-04-03T00:37:15.925Z,2000,0,0,-2000
"Proplayer",kBka-EGRbK,2025-04-03T00:35:09.129Z,,2000,,1824,-176
"George S Bader",RgKiOxNsZw,2025-04-03T00:24:55.703Z,2025-04-03T01:40:32.820Z,2000,0,0,-2000
"lukas",mCofSnAxsK,2025-04-02T23:56:52.931Z,2025-04-03T01:41:27.050Z,2000,8711,0,6711
"Koong",JyBCZehQL_,2025-04-02T23:51:08.284Z,,2000,,4760,2760
"Koong",JyBCZehQL_,2025-04-02T23:43:15.989Z,2025-04-02T23:50:20.446Z,2000,0,0,-2000
"Chun",-6-yYmPWx-,2025-04-02T23:38:17.202Z,2025-04-03T01:24:44.123Z,2000,0,0,-2000
"Proplayer",kBka-EGRbK,2025-04-02T23:33:02.740Z,2025-04-02T23:38:17.198Z,1000,0,0,-1000
"Oliver",NQx8nG5NzV,2025-04-02T23:31:57.570Z,,2000,,4854,2854
"Rosstafarian",AcRKLUvz8e,2025-04-02T23:28:24.736Z,2025-04-02T23:49:08.684Z,2000,0,0,-2000
"Toby",c4bjOQv-T9,2025-04-02T23:28:24.732Z,2025-04-03T01:58:38.458Z,2000,4814,0,2814
"cito",ug0-CrzeER,2025-04-02T23:27:44.761Z,,3500,,6862,3362
"George S Bader",RgKiOxNsZw,2025-04-02T23:27:44.765Z,2025-04-03T00:23:38.664Z,2000,0,0,-2000
"lukas",mCofSnAxsK,2025-04-02T23:27:44.763Z,2025-04-02T23:54:44.203Z,2000,0,0,-2000
"Koong",JyBCZehQL_,2025-04-02T23:27:44.759Z,2025-04-02T23:39:41.540Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-04-02T23:27:44.755Z,,2000,,2123,123
