player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Bades",CgoWQZMyaj,2025-04-16T19:10:16.484Z,2025-04-16T19:26:09.208Z,2000,0,0,-2000
"toby",kO4afA9SVI,2025-04-16T18:38:09.246Z,,2000,,2411,411
"toby",kO4afA9SVI,2025-04-16T18:23:41.932Z,2025-04-16T18:30:07.028Z,2000,0,0,-2000
"Bades",CgoWQZMyaj,2025-04-16T18:16:28.405Z,2025-04-16T19:09:22.133Z,5907,0,0,-5907
"Chong",FmyA84FZhZ,2025-04-16T18:11:27.805Z,,4000,,6190,2190
"toby",kO4afA9SVI,2025-04-16T18:09:34.804Z,2025-04-16T18:23:02.443Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-04-16T18:07:00.830Z,2025-04-16T18:11:06.016Z,2000,0,0,-2000
"Koong",0zgUfqE34I,2025-04-16T18:04:09.159Z,2025-04-16T19:29:08.732Z,1000,4944,0,3944
"Koong",0zgUfqE34I,2025-04-16T17:42:04.820Z,2025-04-16T18:03:24.148Z,2000,0,0,-2000
"Bades",oU3aDoxrv0,2025-04-16T17:42:04.817Z,2025-04-16T18:12:34.970Z,2000,5907,0,3907
"lukas",mCofSnAxsK,2025-04-16T17:42:04.821Z,,2000,,3507,1507
"cito",ug0-CrzeER,2025-04-16T17:42:04.814Z,,2000,,5948,3948
