player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Phung",kBka-EGRbK,2025-03-29T22:10:04.490Z,2025-03-29T22:11:52.019Z,1000,0,0,-1000
"Bader",RgKiOxNsZw,2025-03-29T22:05:20.370Z,2025-03-29T22:12:40.375Z,2000,0,0,-2000
"Phung",kBka-EGRbK,2025-03-29T22:05:20.366Z,2025-03-29T22:08:35.330Z,1000,0,0,-1000
"Phung",kBka-EGRbK,2025-03-29T22:00:20.618Z,2025-03-29T22:04:33.679Z,1000,0,0,-1000
"Oliver",NQx8nG5NzV,2025-03-29T21:48:40.293Z,,2000,,5501,3501
"Noah",JgmuhGkDCE,2025-03-29T21:48:40.290Z,,2000,,2533,533
"Phung",kBka-EGRbK,2025-03-29T21:46:33.933Z,2025-03-29T21:58:56.026Z,1000,0,0,-1000
"Noah",JgmuhGkDCE,2025-03-29T21:45:24.598Z,2025-03-29T21:46:33.932Z,2000,0,0,-2000
"Oliver",NQx8nG5NzV,2025-03-29T21:45:24.592Z,2025-03-29T21:46:33.929Z,2000,0,0,-2000
"Bader",RgKiOxNsZw,2025-03-29T21:45:24.602Z,2025-03-29T22:04:33.675Z,2000,0,0,-2000
"Chong",FmyA84FZhZ,2025-03-29T21:45:24.600Z,,2000,,4737,2737
"cito",ug0-CrzeER,2025-03-29T21:45:24.596Z,,2000,,7229,5229
