player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Georgie",6bIEpRn80K,2025-04-15T14:33:25.690Z,,5543,,3309,-2234
"lukas",mCofSnAxsK,2025-04-15T14:29:10.021Z,,2000,,4441,2441
"toby",kO4afA9SVI,2025-04-15T14:28:08.671Z,,4856,,2472,-2384
"Chong",FmyA84FZhZ,2025-04-15T14:16:02.046Z,,4000,,5513,1513
"Toby Luo",c4bjOQv-T9,2025-04-15T14:05:38.410Z,2025-04-15T14:27:22.549Z,2000,4856,0,2856
"Koong",sUQYPSGhJW,2025-04-15T14:05:38.406Z,2025-04-15T14:12:08.534Z,2000,0,0,-2000
"ross",AcRKLUvz8e,2025-04-15T14:05:38.401Z,2025-04-15T14:19:23.144Z,2000,1781,0,-219
"cito",ug0-CrzeER,2025-04-15T14:02:35.843Z,,2000,,8424,6424
"Chong",FmyA84FZhZ,2025-04-15T13:53:50.455Z,2025-04-15T14:15:31.350Z,2000,0,0,-2000
"Toby Luo",c4bjOQv-T9,2025-04-15T13:53:08.581Z,2025-04-15T14:05:01.084Z,2000,0,0,-2000
"Koong",sUQYPSGhJW,2025-04-15T13:39:21.584Z,2025-04-15T14:05:01.079Z,2000,0,0,-2000
"ODgoofyahhh",kBka-EGRbK,2025-04-15T13:38:20.071Z,,1000,,5060,4060
"cito",ug0-CrzeER,2025-04-15T13:22:13.744Z,2025-04-15T14:01:54.003Z,2000,0,0,-2000
"Toby Luo",c4bjOQv-T9,2025-04-15T13:00:51.108Z,2025-04-15T13:51:21.503Z,2000,0,0,-2000
"lukas",mCofSnAxsK,2025-04-15T13:00:51.105Z,2025-04-15T14:26:28.264Z,2000,0,0,-2000
"Georgie",_K0SXUfXyQ,2025-04-15T13:00:51.101Z,2025-04-15T14:34:15.308Z,2000,5543,0,3543
"Chong",FmyA84FZhZ,2025-04-15T13:00:51.096Z,2025-04-15T13:53:08.577Z,2000,0,0,-2000
