player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"cito",ug0-CrzeER,2023-12-09T01:03:26.570Z,2023-12-09T01:34:03.706Z,1000,0,0,-1000
"chong",Z9Ptp2nZKV,2023-12-09T00:59:17.388Z,,1000,,1660,660
"Rosstafarian",XyVcr4Tsom,2023-12-09T00:48:05.923Z,2023-12-09T00:59:17.384Z,1000,0,0,-1000
"Muuu",wz04g67XLY,2023-12-09T00:48:05.916Z,,1000,,1080,80
"Oliver",I3_cCYxrmW,2023-12-09T00:42:39.151Z,,1000,,735,-265
"cito",ug0-CrzeER,2023-12-09T00:37:51.817Z,2023-12-09T01:01:20.061Z,1000,0,0,-1000
"Chun",0VbLMY-zko,2023-12-09T00:37:51.814Z,,1000,,3525,2525
